labels,probs
1,0.5614619197893577
0,0.8299654155181359
0,0.8766416700940176
1,0.43877022873717403
0,0.04516585665639272
0,0.7528920598036
0,0.10161800016460852
0,0.4012366029208874
1,0.3622186796222698
1,0.424776659462714
1,0.6823796489878682
1,0.7269195600283064
0,0.04221889933489506
1,0.6524528910616603
1,0.8454351046485777
0,0.14179277475869817
0,0.19609889977470038
0,0.17133009743598598
0,0.7875812915772518
0,0.23235769267676026
0,0.14454896212633903
0,0.04703042158182817
1,0.7968091907723239
1,0.9401776527590188
1,0.7794181069158087
0,0.2735979505404602
0,0.14911669914844422
1,0.8151964901635106
1,0.8758720446164427
0,0.2440779317665571
1,0.8525551852471128
0,0.3271432808229865
0,0.08859571289561917
0,0.38536367992718773
0,0.7315168201900981
1,0.5775827726007822
0,0.09085081895531444
1,0.9157799264066177
1,0.38377498998946186
1,0.4011760130075969
0,0.14208359241249433
1,0.17252559697693434
0,0.1770673394103258
1,0.7481426080272731
0,0.24310479148658856
1,0.8050715959468422
1,0.7774964285849668
1,0.843539034998018
0,0.5703081993387638
0,0.09758002324483055
1,0.8757402310035037
1,0.279617180557481
0,0.5413501156454845
0,0.5526807619704184
1,0.7941046186824068
0,0.3077096956349975
0,0.07966476505023229
0,0.19022701057689406
1,0.8120081321296064
0,0.5458778443545594
0,0.15420233832180702
1,0.8343683847384893
1,0.3708058128609029
1,0.7361018461597058
0,0.29052619662091567
1,0.4438558900849131
1,0.9074938846100191
1,0.4597607150970952
0,0.7923228401681527
1,0.6566137948544938
1,0.563582613726322
0,0.2908435643548664
1,0.7812710404859393
0,0.43326757221561396
1,0.8752062376564707
1,0.7667336637033177
1,0.6261743184525009
0,0.12141221671936507
0,0.05837009421403451
1,0.706969879418533
0,0.02888130045075796
1,0.9221516801394853
0,0.14394949942551596
1,0.8101687540343475
1,0.3006228206563357
0,0.3793345343597023
0,0.08269998575900378
1,0.4805639751293384
1,0.6593844562545484
0,0.5112252806872692
0,0.2841750267382175
0,0.24960384715028452
0,0.5380188938938009
1,0.6444410999709999
1,0.24670478094958664
1,0.3438310101761322
0,0.572233087140337
0,0.04520198507369474
1,0.6431477098980058
1,0.8835755587143033
1,0.3371438325902583
1,0.8879456814628449
0,0.4253672177511194
0,0.21521316328215362
1,0.25037190245935637
0,0.1819331365997363
0,0.9140768052510498
0,0.026877871836882443
0,0.4216794172446589
0,0.40378356917962127
1,0.7776687406510852
1,0.4889786784353221
0,0.23627541445269365
0,0.07487119757262202
0,0.49645029221262027
0,0.24234179392558686
0,0.2784251516603676
0,0.06887688253224308
0,0.2641290456140569
1,0.7411078316161382
0,0.04201800427765786
0,0.08118697126006637
1,0.9193490050182724
0,0.7505402837594395
0,0.3054971679276272
1,0.458211146688795
1,0.166151467286036
0,0.651403046928472
0,0.5542210731722331
1,0.8479619358536463
0,0.237837277465826
1,0.6881083267097203
1,0.6366365284786649
1,0.7495310339392673
1,0.7445957337682914
0,0.5570864121695617
0,0.471131075569635
0,0.25220471241823106
1,0.6389566338860778
0,0.1325507140717827
1,0.7031177113522384
0,0.5946982253394387
1,0.8566626319959486
0,0.38285624226254905
1,0.7564136744904945
0,0.058867043499013255
1,0.42092844144632036
1,0.3815138698665536
0,0.4995512345747995
1,0.8379657343885809
0,0.1217676294322359
1,0.1476102611217027
1,0.4068203158075224
1,0.9675723100220649
1,0.7592460137616669
0,0.044359562221690525
0,0.5999718032726088
1,0.4602639570550963
0,0.08858523709293235
0,0.1657508409767274
